tag,Name in repo or Git URL,Purpose
,alsa-tools,Sound
,alsa-utils,Sound
A,archey4,System Info
G,https://github.com/HorlogeSkynet/archey4.git,System Info
,arm-none-eabi-binutils,
,arm-none-eabi-gcc,
,arm-none-eabi-newlib,
,atom,GUI editor
A,audio-recorder,Record Audio/Music
,autoconf,
,automake,
,awesome,
,bash,
,binutils,
,bison,
,brasero,Write DVDs
,bzip2,
,cheese,Webcam images
,chromium,Browser
,cifs-utils,
,cmake,
,cmus,Music Player (NCURSES based)
,coreutils,
,crony,
,cryptsetup,
,ctags,TAGS generator
,deluge,Torrent client
,device-mapper,
,devtools,
,dfu-util,
,dhcpcd,
,dialog,
,diffutils,
,docker,
,e2fsprogs,
,easytag,Change music file tags
,efibootmgr,
,emacs,Inferior commandline based editor
,fakeroot,
,feh,Image viewer
,figlet,Commandline fancy text generator
A,figlet-fonts,Commandline fancy fonts
,file,
,filesystem,
,findutils,
,firefox,
,flake8,
,flashplugin,
,flex,
A,font-manager,
,font-mathematica,
,gawk,
,gcc,GNU C compiler
,gcc-fortran,GNU Fortran compiler
,gcc-libs,
,gdal,
,gettext,
,ghostscript,
,gimp,GIMP - Raster graphics editor
,git,GIT
,glibc,
A,global,
,gnome-keyring,
,gnome-terminal,
,go,GO
,grep,
,grub,
,gsfonts,
,gvim,
,gzip,
,htop,NCURSES program manager
,i3,i3wm - Dynamic tiling manager
,i3-gaps, Useless gaps for i3
,i3blocks,Menubar for i3
,i3lock,Screenlock for i3?
,i3status,
,imagemagick,Imagemagick - Terminal based image editor
,inetutils,
,inkscape,Inkscape - SVG graphics editor
,intel-ucode,
,iproute2,
,iputils,
,ipython,IPython
,irssi,IRSSI - A sweet IRC client
,jfsutils,
,julia,JULIA programming shell
,julia-docs,JULIA documentation
,less,LESS - To view files in commandline
,libreoffice-fresh,LibreOffice - Replaces Office
,licenses,
,linux,
,logrotate,
,lolcat,
,lvm2,
,m4,
,make,GNU make - to install things with makefiles
,man-db,
,man-pages,
,mdadm,
A,mirage,
,mpc,
,mpd,
,mupdf,
,nano,Nano - A supremely inferior terminal based editor
,ncmpcpp,NCMPCPP - An ncurses based music player
,neomutt,Terminal based email client
,neovim,NeoVim - Vim for the future
A,nerd-fonts-complete,
,netctl,
,network-manager-applet, Applet to interface with network manager
,networkmanager,NetworkManager - To manage network connections
,ninja,
,offlineimap,
,openconnect,
,opendesktop-fonts,
,openssh,
,pacman,
,patch,
,pavucontrol,
,pciutils,
,perl,Program in perl
,pkgconf,
,procps-ng,
,profont,
,psmisc,
,pstoedit,
,pulseaudio,Audio
,pulseaudio-alsa,Alsa interface to Pulseaudio
,pygtk,
,python,Program in python 3
,python2,Program in python 2
,python-gobject,
A,python-keras,
,python-matplotlib,
,python-pandas,
,python-pillow,
,python-pip,
,python-pyside,
,python-rope,
,python-tensorflow,
A,python2-keras,
,python2-lxml,
,python2-rope,
,qutebrowser,Simple vim based web browser
,r,Program in R
,ranger,Ranger - Terminal based file browser
,reiserfsprogs,
,rofi,ROFI - A program launcher
,rust,RUST programming language
,rxvt-unicode,URXVT - Lightweight terminal
,s-nail,
,sed,
,shadow,
A,slack-desktop,Desktop interface to slack
A,spotify,GUI music player
A,sublime-text-dev,Sublime - GUI text editor
,sudo,Manage permisions with sudo
,sysfsutils,
,systemd-sysvcompat,
,tar,
,task,TaskWarrior - Nice terminal based task manager
,tcl,Helps install packages in R
,terminus-font,
,termite, Termite - A fancy terminal emulator
,texinfo,
,texlive-core,Core LaTex
,texlive-fontsextra,
,texlive-science,
A,textext,textext - Plugin for GIMP
,the_silver_searcher,
,thunar,GUI File Browser
,timew,TimeWarrior - Terminal based time tracker
,tk,TK - Needed to install R packages
,tmux, TMUX - Terminal Multiplexer
A,tmuxinator, tmuxinator - 
A,trizen-git,
A,ttf-computer-modern-fonts,
,ttf-droid,
,ttf-freefont,
,ttf-gentium,
,ttf-inconsolata,
,ttf-junicode,
,ttf-linux-libertine,
,ttf-ubuntu-font-family,
,unzip,
,urxvt-perls,URXVT plugin
A,urxvt-tabbedex,URXVT plugin
A,usb-creator,
,usbutils,
,util-linux,
,vi,Basic VI
,vim,Superior terminal-based editor
,vimpager,Use vim as a pager
A,vit,VIT - ncurses interface to TaskWarrior
,vlc,
,w3m,Terminal based web browser
,wget,
,which,
,xclip,
,xf86-video-nouveau,
,xf86-video-vesa,
,xfsprogs,
,xorg-bdftopcf,
,xorg-docs,
,xorg-font-util,
,xorg-fonts-100dpi,
,xorg-fonts-75dpi,
,xorg-fonts-encodings,
,xorg-fonts-type1,
,xorg-iceauth,
,xorg-luit,
,xorg-mkfontdir,
,xorg-mkfontscale,
,xorg-server,
,xorg-server-common,
,xorg-server-devel,
,xorg-server-xdmx,
,xorg-server-xephyr,
,xorg-server-xnest,
,xorg-server-xvfb,
,xorg-server-xwayland,
,xorg-sessreg,
,xorg-setxkbmap,
,xorg-smproxy,
,xorg-x11perf,
,xorg-xauth,
,xorg-xbacklight,
,xorg-xcmsdb,
,xorg-xcursorgen,
,xorg-xdpyinfo,
,xorg-xdriinfo,
,xorg-xev,
,xorg-xgamma,
,xorg-xhost,
,xorg-xinit,
,xorg-xinput,
,xorg-xkbcomp,
,xorg-xkbevd,
,xorg-xkbutils,
,xorg-xkill,
,xorg-xlsatoms,
,xorg-xlsclients,
,xorg-xmodmap,
,xorg-xpr,
,xorg-xprop,
,xorg-xrandr,
,xorg-xrdb,
,xorg-xrefresh,
,xorg-xset,
,xorg-xsetroot,
,xorg-xvinfo,
,xorg-xwd,
,xorg-xwininfo,
,xorg-xwud,
,xterm,
,zathura,PDF viewer
,zathura-pdf-mupdf,Enable PDF view
,zsh,ZSH - the Zed shell
